onGameFinished (Sum),match_duration_seconds,roomName
41,1608.7570185661311,"'-"
1,7.55399990081787,XX4SCS
1,68.3290023803711,5CE1X4
1,35.3460006713867,653HM1
1,9.77600002288818,5GECCZ
1,45.8720016479492,OQ4YQI
1,78.4120025634766,N0543F
1,46.7080001831055,D6BIPG
1,10.6330003738403,IYCHLW
1,9.45300006866455,XGO8N8
1,38.9799995422363,93Y7CZ
1,25.7080001831055,YRS0KV
1,8.29800033569336,0KZ9II
1,35.3839988708496,YXLOHW
1,37.7389984130859,N0QM0U
1,68.9690017700195,2B45FG
1,89.5240020751953,HY5O3Y
1,87.2710037231445,AKCK83
1,34.2159996032715,1MW466
1,53.7210006713867,ZCZJKD
1,39.7589988708496,NEF219
1,8.67000007629395,X6JT41
1,31.1550006866455,X1CW2M
1,11.2519998550415,33WEV4
1,38.3740005493164,UFUUKT
1,39.7980003356934,5UU3DU
1,18.8610000610352,YGJ3I3
1,6.31400012969971,4IAJVL
1,50.7080001831055,BG161B
1,8.52299976348877,273Q6W
1,95.0699996948242,77Q9ZY
1,30.9230003356934,60WBFR
1,14.2840003967285,GH3TVP
1,15.6560001373291,1D85RC
1,120,IUINZN
1,105.13500213623,X6123Y
1,31.5090007781982,E3BZO9
1,14.3819999694824,PUN53P
1,57.4720001220703,8ZBXIE
1,15.7299995422363,7O6VMS
1,56.726001739502,OQF7VE
1,6.56300020217896,74MCXI
